segment,name,placeId,mapsUrl,categoryName,categories,address,district,city,phone,hasWebsite,websiteUrl,rating,reviewsCount,hasOpeningHours,isClosed,matchedSearchTerms,missingSearchTerms,matchedSegments,missingSegments,matchedSearchTermCount,firstMatchedSearchTerm,searchCoverageNote,searchCoverageSignal,score,bucket,reasons,rawRecordCount,collectedAt,latitude,longitude
berber,Barber Haircut,ChIJ8VPdpJSryhQRWViRaWi4YMY,https://www.google.com/maps/search/?api=1&query=Barber%20Haircut&query_place_id=ChIJ8VPdpJSryhQRWViRaWi4YMY,Barber shop,Barber shop,"Anadolu, Mimar Sinan Cd. No:40, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,berber,erkek kuaforu | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,berber,"berber ile cikti, erkek kuaforu, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:33.322Z,41.1876296,28.7483131
berber,Berber Serkan,ChIJRRubGcGryhQRy93EBLwDx3M,https://www.google.com/maps/search/?api=1&query=Berber%20Serkan&query_place_id=ChIJRRubGcGryhQRy93EBLwDx3M,Barber shop,Barber shop,"İslambey, Küheylan Sk., 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,berber,erkek kuaforu | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,berber,"berber ile cikti, erkek kuaforu, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:10.565Z,41.1866132,28.7390603
berber,Cadde Erkek Kuaförü,ChIJkaPWpYuryhQRxLukLsneAqw,https://www.google.com/maps/search/?api=1&query=Cadde%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJkaPWpYuryhQRxLukLsneAqw,,,"Yunus Emre, 30 Ağustos Cd. No:61, 34285 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:18.605Z,41.1855925,28.76264
berber,Craft Erkek Kuaförü,ChIJB4w5vcSryhQR70_L5GycHLY,https://www.google.com/maps/search/?api=1&query=Craft%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJB4w5vcSryhQR70_L5GycHLY,,,"Arnavutköy Merkez, 332/A Sk., 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:13.082Z,41.1818918,28.7365108
berber,Deniz Erkek Kuaförü,ChIJpQNKuuuryhQRMdN9YaEnKM0,https://www.google.com/maps/search/?api=1&query=Deniz%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJpQNKuuuryhQRMdN9YaEnKM0,,,"Anadolu, Özel Sk. No:2, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:23.426Z,41.184141,28.7469264
berber,Erkek Kuaförü Ahmet,ChIJ9-Edvi6qyhQR5ReMkMkXTe0,https://www.google.com/maps/search/?api=1&query=Erkek%20Kuaf%C3%B6r%C3%BC%20Ahmet&query_place_id=ChIJ9-Edvi6qyhQR5ReMkMkXTe0,,,"Karlıbayır, Kızılerik Sk. No:28, 34281 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:10.863Z,41.183787,28.712808
berber,Erkek Kuaförü Kadir,ChIJHUUH8ICryhQR0Lm5u2n47yg,https://www.google.com/maps/search/?api=1&query=Erkek%20Kuaf%C3%B6r%C3%BC%20Kadir&query_place_id=ChIJHUUH8ICryhQR0Lm5u2n47yg,,,"Bolluca, Yıldırım Beyazıt Cd. No:217, 34287 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:25.446Z,41.1981702,28.7642581
berber,Ethem & Ekrem Barber Shop,ChIJn7938n-ryhQRgZa5vRQnhpY,https://www.google.com/maps/search/?api=1&query=Ethem%20%26%20Ekrem%20Barber%20Shop&query_place_id=ChIJn7938n-ryhQRgZa5vRQnhpY,,,"Mavigöl, Cumhuriyet Cd. No:6, 34287 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,barbershop,berber | erkek kuaforu | erkek kuaförü | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,barbershop,"barbershop ile cikti, berber, erkek kuaforu, erkek kuaförü, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:05:29.752Z,41.2013528,28.7652176
berber,Gentleman Barbers,ChIJFVmivIuryhQRHheOLhVASeI,https://www.google.com/maps/search/?api=1&query=Gentleman%20Barbers&query_place_id=ChIJFVmivIuryhQRHheOLhVASeI,Barber shop,Barber shop,"Yunus Emre, Kubbe Sk., 34285 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,berber,erkek kuaforu | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,berber,"berber ile cikti, erkek kuaforu, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:31.551Z,41.1860519,28.7623714
berber,Harun Erkek Kuaför salonu,ChIJE-PiPKuryhQRITKpQFI2QLg,https://www.google.com/maps/search/?api=1&query=Harun%20Erkek%20Kuaf%C3%B6r%20salonu&query_place_id=ChIJE-PiPKuryhQRITKpQFI2QLg,Hairdresser,Hairdresser,"Mareşal Fevzi Çakmak, Fatih Cd. No:395, 34283 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:13.832Z,41.2097946,28.7210533
